127.0.0.1 - - [02/Apr/2021:09:56:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:56:54 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [02/Apr/2021:09:58:05 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:04:22 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:06:54 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:06:56 +0900] "GET /t040201/semen01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:06:57 +0900] "GET /t040201/semen01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:07:16 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:07:21 +0900] "GET /t040201/semen01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:08:35 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:09:07 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:09:59 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:10:41 +0900] "GET /t040201/semen01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:12:17 +0900] "GET /t040201/semen01.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [02/Apr/2021:10:23:38 +0900] "GET /t040201/de.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:00:40 +0900] "GET /t040201/css01.html HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:01:11 +0900] "GET /t040201/css01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:03:40 +0900] "GET /t040201/css01.html HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:05:12 +0900] "GET /t040201/css01.html HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:07:55 +0900] "GET /t040201/css02.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:08:47 +0900] "GET /t040201/css02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:15:18 +0900] "GET /t040201/css02.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:21:40 +0900] "GET /t040201/css02.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:21:40 +0900] "GET /t040201/mystyle.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:21:52 +0900] "GET /t040201/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:22:27 +0900] "GET /t040201/css02.html HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:22:27 +0900] "GET /t040201/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:27:52 +0900] "GET /t040201/css03.html HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:27:52 +0900] "GET /t040201/mystyle01.css HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:33:34 +0900] "GET /t040201/css03.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:33:34 +0900] "GET /t040201/mystyle01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:34:00 +0900] "GET /t040201/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:34:00 +0900] "GET /t040201/mystyle01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:34:13 +0900] "GET /t040201/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:34:13 +0900] "GET /t040201/mystyle01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:35:33 +0900] "GET /t040201/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:35:33 +0900] "GET /t040201/mystyle01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:44:56 +0900] "GET /t040201/css04.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:45:31 +0900] "GET /t040201/css04.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [02/Apr/2021:11:45:46 +0900] "GET /t040201/css04.html HTTP/1.1" 200 415
